,total_return,ann_ret,ann_vol,sharpe,accuracy,f1,precision,recall,auc
logistic,-0.10399827604278533,-0.02598641699745874,0.005719350734196368,-4.5435956291479505,,,,,
rf,-0.01653456518495655,-0.003989681535554124,0.004502143911542872,-0.8861737016724709,,,,,
knn,-0.15549916098444427,-0.03971359244984185,0.04586726185023182,-0.8658374371576124,0.5118934348239772,0.5236768802228412,0.5529411764705883,0.4973544973544973,0.5099734720946842
