Date,svm,logistic,xgb,mlp,rf,lgb,knn
2021-08-24 00:00:00-04:00,0.5282241148844415,0.5166084075881268,0.38620815,0.3372826903081103,0.26,0.5204804419935597,0.6
2021-08-25 00:00:00-04:00,0.5283145989527546,0.5233602885702864,0.648052,0.3886234853394366,0.5,0.5067014550965178,0.6
2021-08-26 00:00:00-04:00,0.529297385763465,0.5246886824723445,0.32822785,0.5080700990077432,0.38,0.48806851490795783,0.2
2021-08-27 00:00:00-04:00,0.5292502161568587,0.5019610508120311,0.48572293,0.5002379034010539,0.41,0.40852156197416006,0.4
2021-08-30 00:00:00-04:00,0.528970637511455,0.5288161946969198,0.32478067,0.20601351374530255,0.28,0.4125870886659275,0.4
2021-08-31 00:00:00-04:00,0.5290579442531755,0.523876112042717,0.47827506,0.32328230080280534,0.29,0.4759220489357927,0.4
2021-09-01 00:00:00-04:00,0.5295682420285335,0.5378524417495608,0.30389288,0.34467041576456403,0.48,0.5046443196637244,0.2
2021-09-02 00:00:00-04:00,0.5293555642581557,0.542770531072443,0.3510688,0.32283966103140826,0.46,0.5945279049961208,0.4
2021-09-03 00:00:00-04:00,0.5292653620230506,0.522121313447895,0.56802636,0.5291014073595486,0.55,0.4406187133699778,0.4
2021-09-07 00:00:00-04:00,0.528757224471976,0.5432212339834468,0.3902771,0.30592741427321024,0.58,0.8140473400119024,0.6
2021-09-08 00:00:00-04:00,0.5290190093661093,0.5200831813040114,0.6940628,0.4584249083027468,0.56,0.6814901785950483,0.4
2021-09-09 00:00:00-04:00,0.529824858401919,0.5174603262281781,0.64806366,0.698952313221962,0.49,0.5980805622106612,0.4
2021-09-10 00:00:00-04:00,0.5290191008512268,0.502454573742551,0.29553825,0.4013713198005169,0.43,0.5284730687688454,0.6
2021-09-13 00:00:00-04:00,0.5288685931908247,0.5003437571280155,0.42271966,0.40189133192648663,0.42,0.4866201602332312,0.4
2021-09-14 00:00:00-04:00,0.5290134756610748,0.5059774993722439,0.29943752,0.6620633464716463,0.38,0.568725115244569,0.2
2021-09-15 00:00:00-04:00,0.5288731062280794,0.5067674899703061,0.41397268,0.3879447668511704,0.48,0.6202271404056887,0.6
2021-09-16 00:00:00-04:00,0.5277358892446092,0.5024065916112349,0.51861554,0.7737149611102706,0.5,0.30391093969978616,0.4
2021-09-17 00:00:00-04:00,0.5289585610351578,0.5058465077679922,0.365555,0.7154138394638798,0.68,0.4344567601013135,0.8
2021-09-20 00:00:00-04:00,0.5301328291423306,0.5018925021933293,0.70475864,0.8103147313173502,0.66,0.6344341159276004,0.6
2021-09-21 00:00:00-04:00,0.5290500984941006,0.4939338565199135,0.7961631,0.6533447712501247,0.57,0.4684196891754087,0.4
2021-09-22 00:00:00-04:00,0.5286101617396873,0.4980519859498356,0.81256473,0.38846198706980944,0.58,0.6809274642998323,0.4
2021-09-23 00:00:00-04:00,0.528735354724543,0.5181801314154132,0.74234766,0.6532799601922371,0.63,0.7065428150925909,0.6
2021-09-24 00:00:00-04:00,0.5294832509949245,0.5201539854829624,0.82775867,0.6390275247952398,0.7,0.794756709027256,0.6
2021-09-27 00:00:00-04:00,0.5301028125960385,0.5207362574185029,0.8351622,0.8272110448580291,0.67,0.5675264097430809,0.6
2021-09-28 00:00:00-04:00,0.5291681759881934,0.5300875886008676,0.6973565,0.5764390112705492,0.45,0.6372924667983654,0.2
2021-09-29 00:00:00-04:00,0.5293635487354705,0.5286246703219769,0.5512065,0.5838572725095845,0.55,0.5898263002344128,0.4
2021-09-30 00:00:00-04:00,0.5294534457650528,0.49403807051005355,0.7784757,0.8619215656834844,0.64,0.5257499433081063,0.8
2021-10-01 00:00:00-04:00,0.5289961438424265,0.5084789256572516,0.3517118,0.6315869987109306,0.55,0.5452949468678656,0.6
2021-10-04 00:00:00-04:00,0.5277695591797772,0.4961976641169108,0.22626543,0.2691278311902261,0.3,0.38973156594295305,0.2
2021-10-05 00:00:00-04:00,0.5289346510125291,0.514826407844232,0.66113836,0.587132708980385,0.56,0.5732185995872049,0.8
2021-10-06 00:00:00-04:00,0.52898174752566,0.5121911006181007,0.37973624,0.6956518697707365,0.52,0.56585130752619,0.6
2021-10-07 00:00:00-04:00,0.5294009294379748,0.5189949926912137,0.5273765,0.7923862440862294,0.62,0.5803194806731973,0.8
2021-10-08 00:00:00-04:00,0.5288881095690205,0.501492527976928,0.32955834,0.7593434905903429,0.59,0.5482580728596887,0.8
2021-10-11 00:00:00-04:00,0.5293266507145448,0.5145483429905405,0.53514165,0.7514156055987768,0.62,0.6384866833163975,1.0
2021-10-12 00:00:00-04:00,0.528945648205537,0.5069196184735097,0.36139375,0.6307038016997492,0.41,0.5278566120773853,0.2
2021-10-13 00:00:00-04:00,0.5289187310341102,0.5131288485732851,0.86933696,0.5379839281412161,0.62,0.7978822476740929,0.4
2021-10-14 00:00:00-04:00,0.5284193989221173,0.5282898190986646,0.64963955,0.3832756076150436,0.35,0.46664117889003165,0.2
2021-10-15 00:00:00-04:00,0.5285387531503557,0.5261394481959589,0.7766493,0.5384985443447888,0.52,0.5857866879840655,0.6
2021-10-18 00:00:00-04:00,0.529564004898771,0.523468941521823,0.20401359,0.7469809359095342,0.59,0.6094850844917543,0.8
2021-10-19 00:00:00-04:00,0.5298884580795314,0.5201909625864364,0.36346886,0.6199140663763921,0.48,0.5513628466517154,0.0
2021-10-20 00:00:00-04:00,0.528894142436397,0.5197356199248234,0.44565195,0.35191291108055467,0.35,0.37325944088543617,0.2
