Date,price,position,pnl,cum
2015-05-26 00:00:00-04:00,113.91000366210938,1.0,-0.001,0.999
2015-05-27 00:00:00-04:00,113.88999938964844,0.0,-0.001,0.998001
2015-05-28 00:00:00-04:00,114.0199966430664,1.0,0.00014142816853668447,0.9981421454536279
2015-05-29 00:00:00-04:00,114.0999984741211,0.0,-0.001,0.9971440033081743
2015-06-01 00:00:00-04:00,114.0,1.0,-0.0018764108278561667,0.995272951503435
2015-06-02 00:00:00-04:00,114.45999908447266,0.0,-0.001,0.9942776785519315
2015-06-03 00:00:00-04:00,113.63999938964844,1.0,-0.0081640721770323,0.9861603238202215
2015-06-04 00:00:00-04:00,112.83999633789062,1.0,-0.007039801619628361,0.9792179507753787
2015-06-05 00:00:00-04:00,112.23999786376952,1.0,-0.005317250031845577,0.9740112040954345
2015-06-08 00:00:00-04:00,112.56999969482422,0.0,-0.001,0.973037192891339
2015-06-09 00:00:00-04:00,112.81999969482422,0.0,0.0,0.973037192891339
2015-06-10 00:00:00-04:00,113.77999877929688,0.0,0.0,0.973037192891339
2015-06-11 00:00:00-04:00,113.26000213623048,1.0,-0.005570193783136278,0.9676171871687353
2015-06-12 00:00:00-04:00,113.2300033569336,0.0,-0.001,0.9666495699815666
2015-06-15 00:00:00-04:00,113.7300033569336,0.0,0.0,0.9666495699815666
2015-06-16 00:00:00-04:00,113.31999969482422,0.0,-0.0,0.9666495699815666
2015-06-17 00:00:00-04:00,113.8499984741211,0.0,0.0,0.9666495699815666
2015-06-18 00:00:00-04:00,115.31999969482422,1.0,0.011911736850284238,0.9781640452856275
2015-06-19 00:00:00-04:00,115.12000274658205,1.0,-0.0017342780850800876,0.9764676368182753
2015-06-22 00:00:00-04:00,113.63999938964844,1.0,-0.012856178957809772,0.96391399413283
2015-06-23 00:00:00-04:00,112.88999938964844,0.0,-0.001,0.9629500801386971
2015-06-24 00:00:00-04:00,112.58999633789062,0.0,-0.0,0.9629500801386971
2015-06-25 00:00:00-04:00,112.44000244140624,0.0,-0.0,0.9629500801386971
2015-06-26 00:00:00-04:00,112.55999755859376,0.0,0.0,0.9629500801386971
2015-06-29 00:00:00-04:00,113.06999969482422,0.0,0.0,0.9629500801386971
2015-06-30 00:00:00-04:00,112.37000274658205,0.0,-0.0,0.9629500801386971
2015-07-01 00:00:00-04:00,111.9800033569336,0.0,-0.0,0.9629500801386971
2015-07-02 00:00:00-04:00,111.76000213623048,0.0,-0.0,0.9629500801386971
2015-07-06 00:00:00-04:00,112.05999755859376,0.0,0.0,0.9629500801386971
2015-07-07 00:00:00-04:00,110.76000213623048,1.0,-0.012600887477117295,0.9508160545327883
2015-07-08 00:00:00-04:00,111.08999633789062,0.0,-0.001,0.9498652384782554
2015-07-09 00:00:00-04:00,111.36000061035156,0.0,0.0,0.9498652384782554
2015-07-10 00:00:00-04:00,111.48999786376952,0.0,0.0,0.9498652384782554
2015-07-13 00:00:00-04:00,110.98999786376952,1.0,-0.00548470723455352,0.9446555057329229
2015-07-14 00:00:00-04:00,110.73999786376952,0.0,-0.001,0.9437108502271899
2015-07-15 00:00:00-04:00,110.16000366210938,0.0,-0.0,0.9437108502271899
2015-07-16 00:00:00-04:00,109.76000213623048,0.0,-0.0,0.9437108502271899
2015-07-17 00:00:00-04:00,108.6500015258789,1.0,-0.011112979124889955,0.933223411248683
2015-07-20 00:00:00-04:00,105.6999969482422,1.0,-0.02715144534014624,0.9078850468080196
