fold,total_return,ann_ret,ann_vol,sharpe,pnl_file
1,-0.291847093251425,-0.09460813474982466,0.12770917507014773,-0.7408092229697558,figures/wfcv_fold_1.csv
2,-0.7202159704988036,-0.30707696144390595,0.1286666622691909,-2.3866085901991663,figures/wfcv_fold_2.csv
3,-0.5860153791354901,-0.22430417878362963,0.10009804763512468,-2.240844692608377,figures/wfcv_fold_3.csv
4,-0.4998079998794256,-0.18087273555660144,0.10445904424840173,-1.731518193163718,figures/wfcv_fold_4.csv
5,-0.25748367210810863,-0.08216771434613701,0.09747606665103231,-0.8429527079739508,figures/wfcv_fold_5.csv
